device,baseline_hour,baseline_price_eur_kwh,energy_kwh,baseline_cost_eur,recommended_hour,price_eur_kwh,estimated_cost_eur,date,savings_eur,savings_pct
Lavadora,20,0.2167,1.0,0.2167,15,0.125,0.125,2023-12-01,0.0917,42.316566682048915
Lavavajillas,20,0.2167,1.3,0.2817,14,0.1388,0.1805,2023-12-01,0.10120000000000001,35.92474263400781
Secadora,20,0.2167,2.0,0.4334,16,0.1409,0.2817,2023-12-01,0.1517,35.00230733733272
Termo eléctrico,20,0.2167,2.5,0.5417,6,0.1361,0.3402,2023-12-01,0.20149999999999996,37.19771091009784
Lavadora,20,0.1693,1.0,0.1693,14,0.0884,0.0884,2023-12-02,0.0809,47.784997046662724
Lavavajillas,20,0.1693,1.3,0.2201,12,0.0896,0.1165,2023-12-02,0.10359999999999998,47.06951385733757
Secadora,20,0.1693,2.0,0.3386,13,0.0901,0.1802,2023-12-02,0.1584,46.78086237448317
Termo eléctrico,20,0.1693,2.5,0.4232,15,0.0918,0.2294,2023-12-02,0.19380000000000003,45.79395085066163
Lavadora,20,0.1346,1.0,0.1346,13,0.0943,0.0943,2023-12-03,0.0403,29.9405646359584
Lavavajillas,20,0.1346,1.3,0.1749,14,0.0946,0.123,2023-12-03,0.0519,29.674099485420243
Secadora,20,0.1346,2.0,0.2691,12,0.0948,0.1895,2023-12-03,0.0796,29.580081753994797
Termo eléctrico,20,0.1346,2.5,0.3364,11,0.095,0.2376,2023-12-03,0.09879999999999997,29.369797859690838
Lavadora,20,0.2285,1.0,0.2285,14,0.1165,0.1165,2023-12-04,0.112,49.01531728665208
Lavavajillas,20,0.2285,1.3,0.2971,15,0.1189,0.1546,2023-12-04,0.1425,47.96364860316392
Secadora,20,0.2285,2.0,0.457,16,0.1297,0.2594,2023-12-04,0.1976,43.23851203501094
Termo eléctrico,20,0.2285,2.5,0.5713,4,0.0927,0.2317,2023-12-04,0.3396,59.44337475932085
Lavadora,20,0.241,1.0,0.241,7,0.1554,0.1554,2023-12-05,0.08559999999999998,35.51867219917012
Lavavajillas,20,0.241,1.3,0.3133,23,0.1679,0.2182,2023-12-05,0.09510000000000002,30.354293009894672
Secadora,20,0.241,2.0,0.482,14,0.1765,0.353,2023-12-05,0.129,26.763485477178424
Termo eléctrico,20,0.241,2.5,0.6024,3,0.133,0.3325,2023-12-05,0.26990000000000003,44.80411686586985
Lavadora,20,0.1736,1.0,0.1736,23,0.1383,0.1383,2023-12-06,0.0353,20.334101382488477
Lavavajillas,20,0.1736,1.3,0.2257,11,0.1409,0.1832,2023-12-06,0.04250000000000001,18.83030571555162
Secadora,20,0.1736,2.0,0.3472,12,0.1413,0.2825,2023-12-06,0.06470000000000004,18.63479262672812
Termo eléctrico,20,0.1736,2.5,0.434,0,0.1339,0.3348,2023-12-06,0.09920000000000001,22.857142857142858
Lavadora,20,0.1996,1.0,0.1996,23,0.1249,0.1249,2023-12-07,0.0747,37.4248496993988
Lavavajillas,20,0.1996,1.3,0.2595,14,0.1328,0.1726,2023-12-07,0.0869,33.48747591522158
Secadora,20,0.1996,2.0,0.3992,15,0.1438,0.2877,2023-12-07,0.11149999999999999,27.930861723446892
Termo eléctrico,20,0.1996,2.5,0.499,5,0.1194,0.2986,2023-12-07,0.20040000000000002,40.160320641282574
Lavadora,20,0.0933,1.0,0.0933,12,0.024,0.024,2023-12-08,0.0693,74.27652733118971
Lavavajillas,20,0.0933,1.3,0.1212,13,0.0242,0.0314,2023-12-08,0.0898,74.0924092409241
Secadora,20,0.0933,2.0,0.1865,11,0.0245,0.0491,2023-12-08,0.1374,73.67292225201072
Termo eléctrico,20,0.0933,2.5,0.2332,14,0.0262,0.0656,2023-12-08,0.16759999999999997,71.86963979416808
Lavadora,20,0.1065,1.0,0.1065,11,0.0434,0.0434,2023-12-09,0.06309999999999999,59.2488262910798
Lavavajillas,20,0.1065,1.3,0.1384,12,0.0438,0.057,2023-12-09,0.0814,58.8150289017341
Secadora,20,0.1065,2.0,0.213,14,0.044,0.0879,2023-12-09,0.1251,58.732394366197184
Termo eléctrico,20,0.1065,2.5,0.2662,13,0.0441,0.1102,2023-12-09,0.15599999999999997,58.60255447032306
Lavadora,20,0.09,1.0,0.09,15,0.0679,0.0679,2023-12-10,0.022099999999999995,24.55555555555555
Lavavajillas,20,0.09,1.3,0.117,14,0.0691,0.0898,2023-12-10,0.027200000000000002,23.247863247863247
Secadora,20,0.09,2.0,0.18,12,0.0699,0.1399,2023-12-10,0.0401,22.27777777777778
Termo eléctrico,20,0.09,2.5,0.225,2,0.0564,0.1411,2023-12-10,0.0839,37.28888888888889
Lavadora,20,0.2262,1.0,0.2262,7,0.1268,0.1268,2023-12-11,0.09940000000000002,43.943412908930156
Lavavajillas,20,0.2262,1.3,0.2941,14,0.1345,0.1749,2023-12-11,0.11919999999999997,40.530431825909545
Secadora,20,0.2262,2.0,0.4525,15,0.1434,0.2869,2023-12-11,0.16560000000000002,36.59668508287293
Termo eléctrico,20,0.2262,2.5,0.5656,3,0.0517,0.1292,2023-12-11,0.4364,77.15700141442716
Lavadora,20,0.1992,1.0,0.1992,14,0.106,0.106,2023-12-12,0.09319999999999999,46.787148594377506
Lavavajillas,20,0.1992,1.3,0.2589,23,0.126,0.1638,2023-12-12,0.09510000000000002,36.73232908458865
Secadora,20,0.1992,2.0,0.3983,15,0.1273,0.2546,2023-12-12,0.1437,36.07833291488827
Termo eléctrico,20,0.1992,2.5,0.4979,4,0.0887,0.2216,2023-12-12,0.2763,55.493070897770636
Lavadora,20,0.198,1.0,0.198,7,0.0737,0.0737,2023-12-13,0.12430000000000001,62.77777777777778
Lavavajillas,20,0.198,1.3,0.2574,14,0.0909,0.1181,2023-12-13,0.13930000000000003,54.11810411810413
Secadora,20,0.198,2.0,0.396,15,0.0952,0.1905,2023-12-13,0.20550000000000002,51.89393939393939
Termo eléctrico,20,0.198,2.5,0.495,4,0.0712,0.178,2023-12-13,0.317,64.04040404040404
Lavadora,20,0.2119,1.0,0.2119,14,0.1013,0.1013,2023-12-14,0.1106,52.194431335535626
Lavavajillas,20,0.2119,1.3,0.2755,15,0.1049,0.1364,2023-12-14,0.13910000000000003,50.49001814882034
Secadora,20,0.2119,2.0,0.4238,16,0.1179,0.2358,2023-12-14,0.188,44.360547428032085
Termo eléctrico,20,0.2119,2.5,0.5297,2,0.0832,0.2079,2023-12-14,0.3218,60.75136869926373
Lavadora,20,0.1947,1.0,0.1947,14,0.1025,0.1025,2023-12-15,0.09220000000000002,47.35490498202363
Lavavajillas,20,0.1947,1.3,0.2531,15,0.1049,0.1364,2023-12-15,0.1167,46.10825760568945
Secadora,20,0.1947,2.0,0.3894,16,0.114,0.2281,2023-12-15,0.16130000000000003,41.42270159219312
Termo eléctrico,20,0.1947,2.5,0.4868,4,0.1156,0.2889,2023-12-15,0.19790000000000002,40.6532456861134
Lavadora,20,0.144,1.0,0.144,13,0.1017,0.1017,2023-12-16,0.04229999999999999,29.374999999999996
Lavavajillas,20,0.144,1.3,0.1872,12,0.1033,0.1342,2023-12-16,0.05299999999999999,28.311965811965806
Secadora,20,0.144,2.0,0.288,14,0.1075,0.2151,2023-12-16,0.07289999999999996,25.31249999999999
Termo eléctrico,20,0.144,2.5,0.36,4,0.0945,0.2362,2023-12-16,0.1238,34.38888888888889
Lavadora,20,0.1544,1.0,0.1544,12,0.0742,0.0742,2023-12-17,0.08020000000000001,51.94300518134716
Lavavajillas,20,0.1544,1.3,0.2007,13,0.0772,0.1004,2023-12-17,0.10029999999999999,49.97508719481813
Secadora,20,0.1544,2.0,0.3088,14,0.0783,0.1567,2023-12-17,0.1521,49.25518134715026
Termo eléctrico,20,0.1544,2.5,0.3859,11,0.0808,0.2019,2023-12-17,0.18400000000000002,47.68074630733351
Lavadora,20,0.2945,1.0,0.2945,14,0.1362,0.1362,2023-12-18,0.1583,53.75212224108659
Lavavajillas,20,0.2945,1.3,0.3828,15,0.1399,0.1819,2023-12-18,0.20089999999999997,52.481713688610235
Secadora,20,0.2945,2.0,0.5889,16,0.1545,0.3089,2023-12-18,0.27999999999999997,47.54627271183563
Termo eléctrico,20,0.2945,2.5,0.7362,4,0.1196,0.2991,2023-12-18,0.4371,59.37245313773432
Lavadora,20,0.2005,1.0,0.2005,23,0.1175,0.1175,2023-12-19,0.08300000000000002,41.39650872817956
Lavavajillas,20,0.2005,1.3,0.2607,14,0.1372,0.1784,2023-12-19,0.08229999999999998,31.568853087840427
Secadora,20,0.2005,2.0,0.401,15,0.1441,0.2882,2023-12-19,0.11280000000000001,28.129675810473813
Termo eléctrico,20,0.2005,2.5,0.5013,4,0.1095,0.2737,2023-12-19,0.22759999999999997,45.401954917215235
Lavadora,20,0.1828,1.0,0.1828,7,0.0955,0.0955,2023-12-20,0.08729999999999999,47.75711159737418
Lavavajillas,20,0.1828,1.3,0.2376,14,0.1028,0.1336,2023-12-20,0.10400000000000001,43.77104377104377
Secadora,20,0.1828,2.0,0.3655,15,0.1044,0.2089,2023-12-20,0.1566,42.8454172366621
Termo eléctrico,20,0.1828,2.5,0.4569,4,0.0641,0.1604,2023-12-20,0.2965,64.89384985773692
Lavadora,20,0.1781,1.0,0.1781,7,0.0847,0.0847,2023-12-21,0.09340000000000001,52.44244806288603
Lavavajillas,20,0.1781,1.3,0.2315,14,0.0904,0.1175,2023-12-21,0.11400000000000002,49.244060475161994
Secadora,20,0.1781,2.0,0.3561,15,0.0921,0.1841,2023-12-21,0.17200000000000001,48.30103903397922
Termo eléctrico,20,0.1781,2.5,0.4452,4,0.0714,0.1786,2023-12-21,0.26659999999999995,59.88319856244384
Lavadora,20,0.1786,1.0,0.1786,14,0.0896,0.0896,2023-12-22,0.08900000000000001,49.83202687569989
Lavavajillas,20,0.1786,1.3,0.2322,15,0.0935,0.1216,2023-12-22,0.11059999999999999,47.631352282515074
Secadora,20,0.1786,2.0,0.3572,16,0.0976,0.1953,2023-12-22,0.16190000000000002,45.32474804031355
Termo eléctrico,20,0.1786,2.5,0.4465,4,0.058,0.1451,2023-12-22,0.3014,67.50279955207166
Lavadora,20,0.1076,1.0,0.1076,13,0.05,0.05,2023-12-23,0.0576,53.53159851301115
Lavavajillas,20,0.1076,1.3,0.1399,15,0.0528,0.0687,2023-12-23,0.0712,50.89349535382416
Secadora,20,0.1076,2.0,0.2153,14,0.0533,0.1067,2023-12-23,0.10859999999999999,50.44124477473293
Termo eléctrico,20,0.1076,2.5,0.2691,12,0.0595,0.1488,2023-12-23,0.12030000000000002,44.70457079152732
Lavadora,20,0.151,1.0,0.151,14,0.0796,0.0796,2023-12-24,0.07139999999999999,47.28476821192052
Lavavajillas,20,0.151,1.3,0.1963,12,0.0805,0.1047,2023-12-24,0.0916,46.66327050433011
Secadora,20,0.151,2.0,0.302,15,0.0806,0.1611,2023-12-24,0.1409,46.65562913907284
Termo eléctrico,20,0.151,2.5,0.3774,13,0.0807,0.2018,2023-12-24,0.1756,46.528881822999466
Lavadora,20,0.1222,1.0,0.1222,14,0.0886,0.0886,2023-12-25,0.033600000000000005,27.495908346972183
Lavavajillas,20,0.1222,1.3,0.1589,13,0.0889,0.1156,2023-12-25,0.04330000000000002,27.249842668344883
Secadora,20,0.1222,2.0,0.2445,12,0.0894,0.1788,2023-12-25,0.06570000000000001,26.871165644171786
Termo eléctrico,20,0.1222,2.5,0.3056,11,0.0896,0.2241,2023-12-25,0.08149999999999999,26.668848167539267
Lavadora,20,0.2566,1.0,0.2566,14,0.1315,0.1315,2023-12-26,0.1251,48.75292283710054
Lavavajillas,20,0.2566,1.3,0.3336,15,0.1327,0.1725,2023-12-26,0.16110000000000002,48.29136690647483
Secadora,20,0.2566,2.0,0.5132,16,0.153,0.306,2023-12-26,0.2072,40.374123148869835
Termo eléctrico,20,0.2566,2.5,0.6415,4,0.1324,0.331,2023-12-26,0.31049999999999994,48.40218238503507
Lavadora,20,0.2321,1.0,0.2321,7,0.1131,0.1131,2023-12-27,0.119,51.27100387763895
Lavavajillas,20,0.2321,1.3,0.3018,14,0.1182,0.1537,2023-12-27,0.1481,49.07223326706428
Secadora,20,0.2321,2.0,0.4642,15,0.1212,0.2424,2023-12-27,0.2218,47.78112882378285
Termo eléctrico,20,0.2321,2.5,0.5803,4,0.0897,0.2243,2023-12-27,0.35600000000000004,61.34757883853179
Lavadora,20,0.2415,1.0,0.2415,7,0.1384,0.1384,2023-12-28,0.1031,42.69151138716356
Lavavajillas,20,0.2415,1.3,0.314,14,0.1489,0.1935,2023-12-28,0.1205,38.37579617834395
Secadora,20,0.2415,2.0,0.483,15,0.1505,0.3009,2023-12-28,0.18209999999999998,37.701863354037265
Termo eléctrico,20,0.2415,2.5,0.6038,4,0.1186,0.2966,2023-12-28,0.30720000000000003,50.877774097383245
Lavadora,20,0.2399,1.0,0.2399,7,0.1445,0.1445,2023-12-29,0.09540000000000001,39.766569403918304
Lavavajillas,20,0.2399,1.3,0.3119,14,0.1515,0.197,2023-12-29,0.1149,36.83873036229561
Secadora,20,0.2399,2.0,0.4798,15,0.1541,0.3082,2023-12-29,0.17160000000000003,35.76490204251772
Termo eléctrico,20,0.2399,2.5,0.5997,5,0.1301,0.3252,2023-12-29,0.2745,45.77288644322161
Lavadora,20,0.1171,1.0,0.1171,14,0.0717,0.0717,2023-12-30,0.045399999999999996,38.770281810418446
Lavavajillas,20,0.1171,1.3,0.1522,23,0.0738,0.096,2023-12-30,0.0562,36.925098554533506
Secadora,20,0.1171,2.0,0.2342,13,0.0771,0.1543,2023-12-30,0.0799,34.11614005123826
Termo eléctrico,20,0.1171,2.5,0.2928,15,0.0781,0.1952,2023-12-30,0.09759999999999999,33.33333333333333
Lavadora,20,0.1314,1.0,0.1314,13,0.0312,0.0312,2023-12-31,0.10019999999999998,76.25570776255707
Lavavajillas,20,0.1314,1.3,0.1709,14,0.0346,0.0449,2023-12-31,0.126,73.72732592159159
Secadora,20,0.1314,2.0,0.2629,12,0.0375,0.0749,2023-12-31,0.18800000000000003,71.51007987828072
Termo eléctrico,20,0.1314,2.5,0.3286,6,0.0364,0.0911,2023-12-31,0.2375,72.27632379793062
Lavadora,20,0.1101,1.0,0.1101,14,0.0442,0.0442,2024-01-01,0.0659,59.85467756584922
Lavavajillas,20,0.1101,1.3,0.1431,13,0.0447,0.0581,2024-01-01,0.085,59.39902166317261
Secadora,20,0.1101,2.0,0.2202,12,0.0464,0.0928,2024-01-01,0.1274,57.85649409627611
Termo eléctrico,20,0.1101,2.5,0.2752,11,0.0476,0.119,2024-01-01,0.1562,56.75872093023256
Lavadora,20,0.1783,1.0,0.1783,7,0.0932,0.0932,2024-01-02,0.08509999999999998,47.728547392035885
Lavavajillas,20,0.1783,1.3,0.2319,15,0.1061,0.138,2024-01-02,0.09389999999999998,40.49159120310478
Secadora,20,0.1783,2.0,0.3567,14,0.1081,0.2162,2024-01-02,0.1405,39.388842164283716
Termo eléctrico,20,0.1783,2.5,0.4459,2,0.0563,0.1407,2024-01-02,0.3052,68.4458398744113
Lavadora,20,0.2404,1.0,0.2404,7,0.0885,0.0885,2024-01-03,0.1519,63.186356073211314
Lavavajillas,20,0.2404,1.3,0.3125,14,0.1262,0.1641,2024-01-03,0.1484,47.488
Secadora,20,0.2404,2.0,0.4807,15,0.1334,0.2668,2024-01-03,0.21390000000000003,44.4976076555024
Termo eléctrico,20,0.2404,2.5,0.6009,5,0.0383,0.0957,2024-01-03,0.5052,84.07388916625062
Lavadora,20,0.2218,1.0,0.2218,7,0.1334,0.1334,2024-01-04,0.0884,39.85572587917043
Lavavajillas,20,0.2218,1.3,0.2883,14,0.1541,0.2003,2024-01-04,0.088,30.523759972251124
Secadora,20,0.2218,2.0,0.4435,9,0.1618,0.3236,2024-01-04,0.1199,27.034949267192786
Termo eléctrico,20,0.2218,2.5,0.5544,5,0.1115,0.2788,2024-01-04,0.2756,49.711399711399714
Lavadora,20,0.1969,1.0,0.1969,15,0.0906,0.0906,2024-01-05,0.10629999999999999,53.986795327577454
Lavavajillas,20,0.1969,1.3,0.2559,14,0.0998,0.1298,2024-01-05,0.12610000000000002,49.27706135209066
Secadora,20,0.1969,2.0,0.3938,16,0.108,0.2159,2024-01-05,0.17789999999999997,45.1752158456069
Termo eléctrico,20,0.1969,2.5,0.4922,4,0.1083,0.2708,2024-01-05,0.22140000000000004,44.981714750101595
Lavadora,20,0.1398,1.0,0.1398,13,0.0338,0.0338,2024-01-06,0.10600000000000001,75.82260371959944
Lavavajillas,20,0.1398,1.3,0.1818,12,0.0341,0.0444,2024-01-06,0.1374,75.57755775577559
Secadora,20,0.1398,2.0,0.2797,14,0.0342,0.0683,2024-01-06,0.2114,75.58097962102252
Termo eléctrico,20,0.1398,2.5,0.3496,11,0.0364,0.091,2024-01-06,0.25860000000000005,73.97025171624715
Lavadora,20,0.1429,1.0,0.1429,15,0.0813,0.0813,2024-01-07,0.0616,43.10706787963611
Lavavajillas,20,0.1429,1.3,0.1858,14,0.0846,0.11,2024-01-07,0.07579999999999999,40.796555435952634
Secadora,20,0.1429,2.0,0.2858,12,0.0856,0.1712,2024-01-07,0.11460000000000001,40.097970608817356
Termo eléctrico,20,0.1429,2.5,0.3573,13,0.0868,0.217,2024-01-07,0.1403,39.26672264203751
Lavadora,20,0.2495,1.0,0.2495,7,0.1524,0.1524,2024-01-08,0.09709999999999999,38.91783567134268
Lavavajillas,20,0.2495,1.3,0.3243,14,0.1585,0.206,2024-01-08,0.11829999999999999,36.478569226025286
Secadora,20,0.2495,2.0,0.4989,15,0.1688,0.3375,2024-01-08,0.1614,32.35117257967528
Termo eléctrico,20,0.2495,2.5,0.6236,4,0.1228,0.307,2024-01-08,0.31660000000000005,50.76972418216806
Lavadora,20,0.2664,1.0,0.2664,7,0.1442,0.1442,2024-01-09,0.12220000000000003,45.87087087087088
Lavavajillas,20,0.2664,1.3,0.3463,14,0.1634,0.2124,2024-01-09,0.1339,38.665896621426505
Secadora,20,0.2664,2.0,0.5327,22,0.1727,0.3455,2024-01-09,0.18719999999999998,35.14173080533133
Termo eléctrico,20,0.2664,2.5,0.6659,4,0.135,0.3375,2024-01-09,0.3284,49.31671422135456
Lavadora,20,0.2345,1.0,0.2345,7,0.1409,0.1409,2024-01-10,0.09359999999999999,39.914712153518124
Lavavajillas,20,0.2345,1.3,0.3048,14,0.1499,0.1949,2024-01-10,0.10990000000000003,36.056430446194234
Secadora,20,0.2345,2.0,0.469,15,0.1509,0.3018,2024-01-10,0.16719999999999996,35.6503198294243
Termo eléctrico,20,0.2345,2.5,0.5862,4,0.1214,0.3034,2024-01-10,0.28280000000000005,48.24292050494712
Lavadora,20,0.234,1.0,0.234,14,0.1388,0.1388,2024-01-11,0.0952,40.68376068376068
Lavavajillas,20,0.234,1.3,0.3042,15,0.1417,0.1842,2024-01-11,0.12000000000000002,39.447731755424066
Secadora,20,0.234,2.0,0.468,16,0.1582,0.3164,2024-01-11,0.1516,32.39316239316239
Termo eléctrico,20,0.234,2.5,0.5851,4,0.1161,0.2904,2024-01-11,0.29469999999999996,50.36745855409331
Lavadora,20,0.2237,1.0,0.2237,7,0.1404,0.1404,2024-01-12,0.08330000000000001,37.23737147966026
Lavavajillas,20,0.2237,1.3,0.2908,14,0.1463,0.1902,2024-01-12,0.1006,34.59422283356258
Secadora,20,0.2237,2.0,0.4474,15,0.15,0.2999,2024-01-12,0.14750000000000002,32.968261063924906
Termo eléctrico,20,0.2237,2.5,0.5592,3,0.1192,0.2979,2024-01-12,0.26130000000000003,46.7274678111588
Lavadora,20,0.1417,1.0,0.1417,13,0.1063,0.1063,2024-01-13,0.03539999999999999,24.98235709244883
Lavavajillas,20,0.1417,1.3,0.1842,12,0.1089,0.1416,2024-01-13,0.0426,23.12703583061889
Secadora,20,0.1417,2.0,0.2833,14,0.1096,0.2191,2024-01-13,0.06420000000000001,22.661489587010237
Termo eléctrico,20,0.1417,2.5,0.3542,11,0.1196,0.2991,2024-01-13,0.05510000000000004,15.556182947487304
Lavadora,20,0.1285,1.0,0.1285,14,0.1003,0.1003,2024-01-14,0.028200000000000003,21.945525291828798
Lavavajillas,20,0.1285,1.3,0.167,15,0.1022,0.1328,2024-01-14,0.03420000000000001,20.479041916167667
Secadora,20,0.1285,2.0,0.2569,13,0.1032,0.2064,2024-01-14,0.05050000000000002,19.6574542623589
Termo eléctrico,20,0.1285,2.5,0.3212,12,0.1064,0.2659,2024-01-14,0.05529999999999996,17.216687422166864
Lavadora,20,0.2255,1.0,0.2255,7,0.1294,0.1294,2024-01-15,0.09610000000000002,42.61640798226165
Lavavajillas,20,0.2255,1.3,0.2931,14,0.1468,0.1908,2024-01-15,0.10230000000000003,34.90276356192427
Secadora,20,0.2255,2.0,0.4509,15,0.1551,0.3102,2024-01-15,0.14070000000000005,31.204258150365945
Termo eléctrico,20,0.2255,2.5,0.5636,3,0.1077,0.2691,2024-01-15,0.2945,52.253371185237754
Lavadora,20,0.2157,1.0,0.2157,23,0.1174,0.1174,2024-01-16,0.0983,45.57255447380621
Lavavajillas,20,0.2157,1.3,0.2804,22,0.1375,0.1788,2024-01-16,0.1016,36.233951497860204
Secadora,20,0.2157,2.0,0.4314,16,0.1465,0.2929,2024-01-16,0.1385,32.10477515067223
Termo eléctrico,20,0.2157,2.5,0.5392,4,0.1208,0.3019,2024-01-16,0.2373,44.00964391691395
Lavadora,20,0.1753,1.0,0.1753,14,0.0665,0.0665,2024-01-17,0.10880000000000001,62.06503137478608
Lavavajillas,20,0.1753,1.3,0.2279,15,0.0683,0.0888,2024-01-17,0.1391,61.035541904344015
Secadora,20,0.1753,2.0,0.3506,16,0.083,0.1661,2024-01-17,0.18450000000000003,52.62407301768397
Termo eléctrico,20,0.1753,2.5,0.4382,5,0.0472,0.118,2024-01-17,0.3202,73.07165677772707
Lavadora,20,0.2337,1.0,0.2337,7,0.0694,0.0694,2024-01-18,0.1643,70.3038083012409
Lavavajillas,20,0.2337,1.3,0.3038,14,0.0987,0.1283,2024-01-18,0.17550000000000002,57.76826859776168
Secadora,20,0.2337,2.0,0.4674,15,0.1124,0.2247,2024-01-18,0.24269999999999997,51.92554557124518
Termo eléctrico,20,0.2337,2.5,0.5842,3,0.0378,0.0946,2024-01-18,0.48960000000000004,83.80691543991784
Lavadora,20,0.2007,1.0,0.2007,7,0.1148,0.1148,2024-01-19,0.08589999999999999,42.80019930244145
Lavavajillas,20,0.2007,1.3,0.2609,14,0.1228,0.1596,2024-01-19,0.10130000000000003,38.82713683403603
Secadora,20,0.2007,2.0,0.4013,15,0.1238,0.2477,2024-01-19,0.1536,38.27560428607027
Termo eléctrico,20,0.2007,2.5,0.5017,5,0.0926,0.2314,2024-01-19,0.27030000000000004,53.87681881602552
Lavadora,20,0.1438,1.0,0.1438,13,0.1065,0.1065,2024-01-20,0.037300000000000014,25.938803894297642
Lavavajillas,20,0.1438,1.3,0.187,14,0.1122,0.1458,2024-01-20,0.04119999999999999,22.03208556149732
Secadora,20,0.1438,2.0,0.2877,12,0.1134,0.2268,2024-01-20,0.06090000000000001,21.167883211678834
Termo eléctrico,20,0.1438,2.5,0.3596,1,0.109,0.2726,2024-01-20,0.08699999999999997,24.193548387096765
Lavadora,20,0.1432,1.0,0.1432,13,0.0836,0.0836,2024-01-21,0.0596,41.62011173184358
Lavavajillas,20,0.1432,1.3,0.1862,14,0.0898,0.1168,2024-01-21,0.0694,37.27175080558539
Secadora,20,0.1432,2.0,0.2864,15,0.0927,0.1855,2024-01-21,0.10089999999999999,35.230446927374295
Termo eléctrico,20,0.1432,2.5,0.358,12,0.0944,0.236,2024-01-21,0.122,34.0782122905028
Lavadora,20,0.2424,1.0,0.2424,7,0.119,0.119,2024-01-22,0.12340000000000001,50.907590759075916
Lavavajillas,20,0.2424,1.3,0.3151,14,0.1211,0.1574,2024-01-22,0.15769999999999998,50.04760393525864
Secadora,20,0.2424,2.0,0.4848,15,0.1223,0.2446,2024-01-22,0.2402,49.54620462046204
Termo eléctrico,20,0.2424,2.5,0.606,3,0.0687,0.1716,2024-01-22,0.4344,71.6831683168317
Lavadora,20,0.2521,1.0,0.2521,14,0.1201,0.1201,2024-01-23,0.132,52.360174533915114
Lavavajillas,20,0.2521,1.3,0.3277,15,0.1247,0.1621,2024-01-23,0.1656,50.53402502288679
Secadora,20,0.2521,2.0,0.5041,16,0.1281,0.2563,2024-01-23,0.24780000000000002,49.156913310851024
Termo eléctrico,20,0.2521,2.5,0.6302,4,0.1002,0.2506,2024-01-23,0.3796,60.23484608060933
Lavadora,20,0.2776,1.0,0.2776,14,0.1136,0.1136,2024-01-24,0.164,59.0778097982709
Lavavajillas,20,0.2776,1.3,0.3609,15,0.1188,0.1544,2024-01-24,0.2065,57.2180659462455
Secadora,20,0.2776,2.0,0.5553,16,0.1219,0.2437,2024-01-24,0.3116,56.11381235368269
Termo eléctrico,20,0.2776,2.5,0.6941,5,0.1121,0.2802,2024-01-24,0.41390000000000005,59.63117706382366
Lavadora,20,0.2612,1.0,0.2612,7,0.1221,0.1221,2024-01-25,0.1391,53.25421133231241
Lavavajillas,20,0.2612,1.3,0.3396,15,0.1225,0.1592,2024-01-25,0.1804,53.121319199057716
Secadora,20,0.2612,2.0,0.5224,14,0.1238,0.2477,2024-01-25,0.27469999999999994,52.58422664624808
Termo eléctrico,20,0.2612,2.5,0.653,3,0.0998,0.2495,2024-01-25,0.4035,61.791730474732006
Lavadora,20,0.2326,1.0,0.2326,14,0.1125,0.1125,2024-01-26,0.1201,51.633705932932074
Lavavajillas,20,0.2326,1.3,0.3024,15,0.1164,0.1514,2024-01-26,0.151,49.93386243386243
Secadora,20,0.2326,2.0,0.4653,16,0.1245,0.249,2024-01-26,0.2163,46.48613797549967
Termo eléctrico,20,0.2326,2.5,0.5816,0,0.1074,0.2684,2024-01-26,0.3132,53.851444291609354
Lavadora,20,0.1396,1.0,0.1396,14,0.0849,0.0849,2024-01-27,0.0547,39.183381088825215
Lavavajillas,20,0.1396,1.3,0.1814,12,0.0852,0.1107,2024-01-27,0.0707,38.974641675854464
Secadora,20,0.1396,2.0,0.2791,13,0.086,0.172,2024-01-27,0.10710000000000003,38.37334288785382
Termo eléctrico,20,0.1396,2.5,0.3489,15,0.0874,0.2185,2024-01-27,0.1304,37.37460590427057
Lavadora,20,0.1126,1.0,0.1126,11,0.0767,0.0767,2024-01-28,0.0359,31.882770870337477
Lavavajillas,20,0.1126,1.3,0.1464,15,0.0792,0.1029,2024-01-28,0.0435,29.713114754098356
Secadora,20,0.1126,2.0,0.2252,13,0.0792,0.1584,2024-01-28,0.0668,29.662522202486674
Termo eléctrico,20,0.1126,2.5,0.2815,14,0.0801,0.2002,2024-01-28,0.08129999999999998,28.880994671403194
Lavadora,20,0.2275,1.0,0.2275,7,0.1296,0.1296,2024-01-29,0.09790000000000001,43.032967032967036
Lavavajillas,20,0.2275,1.3,0.2957,14,0.1396,0.1815,2024-01-29,0.11420000000000002,38.62022319918837
Secadora,20,0.2275,2.0,0.4549,15,0.1419,0.2839,2024-01-29,0.17100000000000004,37.590679270169275
Termo eléctrico,20,0.2275,2.5,0.5687,1,0.0889,0.2222,2024-01-29,0.3465,60.9284332688588
Lavadora,20,0.2443,1.0,0.2443,7,0.1308,0.1308,2024-01-30,0.11349999999999999,46.45927138763815
Lavavajillas,20,0.2443,1.3,0.3176,14,0.1318,0.1713,2024-01-30,0.14629999999999999,46.06423173803526
Secadora,20,0.2443,2.0,0.4886,15,0.1328,0.2656,2024-01-30,0.22299999999999998,45.64060581252558
Termo eléctrico,20,0.2443,2.5,0.6108,4,0.1089,0.2723,2024-01-30,0.3385,55.419122462344475
Lavadora,20,0.2974,1.0,0.2974,15,0.1216,0.1216,2024-01-31,0.1758,59.112306657700074
